code,name,industry,price,dividend_yield_ttm,dividend_percentile_5y,roe_5y_avg,fcf_coverage,pb,pb_percentile,dividend_years,loss_q_3y,ocf_ps_annual,quality_score,has_insurance,has_social_security,has_pension,has_qfii,inst_detail,sort_value,pick_reason
002867,周大生,饰品,10.07,8.94,,13.4,1.0,1.76,12.0,5,0,0.43,0.729,是,是,,,中国人寿保险(集团)公司-传统-普通保险产品-港股通(创新策略)[保险]; 中信证券股份有限公司-社保基金1106组合[社保]; 中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险],6.517,股息率8.94%≥3.0% | PB 1.76≤4.0 | ROE年化13.4%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股0.43≥0
601717,中创智领,专用设备,13.40,9.33,,14.0,1.0,1.01,49.5,5,0,1.35,0.637,,,,,,5.945,股息率9.33%≥3.0% | PB 1.01≤4.0 | ROE年化14.0%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股1.35≥0
000651,格力电器,白色家电,38.50,7.78,,17.4,1.0,1.45,27.5,5,0,8.28,0.731,是,,,,中邮人寿保险股份有限公司-传统保险[保险]; 瑞众人寿保险有限责任公司-自有资金[保险]; 阳光人寿保险股份有限公司-传统保险产品[保险],5.691,股息率7.78%≥3.0% | PB 1.45≤4.0 | ROE年化17.4%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股8.28≥0
600398,海澜之家,服装家纺,5.66,7.24,,16.2,1.0,1.53,23.5,5,0,0.93,0.716,是,,,,中邮人寿保险股份有限公司-传统保险[保险],5.182,股息率7.24%≥3.0% | PB 1.53≤4.0 | ROE年化16.2%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股0.93≥0
601216,君正集团,化学原料,4.47,8.50,,11.3,1.0,1.37,31.5,5,0,0.61,0.600,,,,,,5.103,股息率8.50%≥3.0% | PB 1.37≤4.0 | ROE年化11.3%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股0.61≥0
601838,成都银行,银行Ⅱ,19.04,7.41,,15.0,1.0,0.90,55.0,5,0,17.66,0.650,,,,,,4.815,股息率7.41%≥3.0% | PB 0.90≤4.0 | ROE年化15.0%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股17.66≥0
600741,华域汽车,汽车零部件,14.70,6.80,,7.7,1.0,0.70,65.0,5,0,3.02,0.703,是,是,是,,全国社保基金一零一组合[社保]; 基本养老保险基金八零八组合[养老]; 全国社保基金四零一组合[社保]; 中国人民财产保险股份有限公司-自有资金[保险]; 阳光人寿保险股份有限公司-传统保险产品[保险],4.782,股息率6.80%≥3.0% | PB 0.70≤4.0 | ROE年化7.7%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股3.02≥0
603565,中谷物流,航运港口,11.69,5.73,,19.9,1.0,2.23,0.0,5,0,1.40,0.765,是,,,,瑞众人寿保险有限责任公司-自有资金[保险],4.384,股息率5.73%≥3.0% | PB 2.23≤4.0 | ROE年化19.9%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股1.40≥0
600096,云天化,农化制品,27.56,5.08,,22.8,1.0,2.01,0.0,5,0,4.98,0.854,是,,,是,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]; 中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪[保险]; 施罗德投资管理(香港)有限公司-施罗德环球基金系列中国A股(交易所)[QFII],4.340,股息率5.08%≥3.0% | PB 2.01≤4.0 | ROE年化22.8%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股4.98≥0
601928,凤凰传媒,出版,8.26,6.05,,10.7,1.0,1.05,47.5,5,0,0.60,0.692,是,,是,,基本养老保险基金一零零一组合[养老]; 中邮人寿保险股份有限公司-传统保险[保险],4.189,股息率6.05%≥3.0% | PB 1.05≤4.0 | ROE年化10.7%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股0.60≥0
601098,中南传媒,出版,10.18,5.40,,11.3,1.0,1.12,44.0,5,0,-0.69,0.751,是,是,,是,中国太平洋人寿保险股份有限公司-传统保险高分红股票管理组合[保险]; 全国社保基金四一三组合[社保]; 兴业银行股份有限公司-工银瑞信文体产业股票型证券投资基金[QFII]; 太保致远(上海)私募基金管理有限公司-太保致远1号私募证券投资基金[保险],4.054,股息率5.40%≥3.0% | PB 1.12≤4.0 | ROE年化11.3%≥6.0% | 近3年亏损季度0 | ⚠️年报经营现金流/股-0.69<0（借钱分红嫌疑，请人工复核）
601919,中远海控,航运港口,16.30,6.18,,11.4,1.0,1.06,47.0,5,0,2.94,0.652,是,,,,中国人寿保险(集团)公司-传统-普通保险产品-港股通(创新策略)[保险],4.029,股息率6.18%≥3.0% | PB 1.06≤4.0 | ROE年化11.4%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股2.94≥0
601668,中国建筑,房屋建设Ⅱ,4.26,6.38,,9.2,1.0,0.36,82.0,5,0,0.50,0.623,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险],3.974,股息率6.38%≥3.0% | PB 0.36≤4.0 | ROE年化9.2%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股0.50≥0
