code,name,industry,price,total_mv_yi,profit_cagr_3y,revenue_cagr_3y,np_yoy_latest,roe_ann,ocf_to_np,loss_q_3y,pe_ttm,peg,gross_margin,gross_margin_yoy,rev_yoy_latest,ocf_yoy,drr,drgs,ibr,arr,order_backlog_score,filter_pass,has_insurance,has_social_security,has_pension,has_qfii,inst_detail,sort_value,pick_reason
002170,芭田股份,农化制品,11.66,113,95.9,21.0,60.3,28.1,1.61,0,10.7,0.11,38.2,7.1,19.4,0.07,0.060,42.6,-7.0,-55.7,11.6,是,,,,,,8.956,总市值113亿≥30 | 净利CAGR3年+96%≥15% | 营收CAGR3年+21%≥10% | 最新期净利同比+60%≥10% | ROE年化28.1%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.61≥0.4 | PE(TTM)10.7≤80 | PEG 0.11≤1.5
688336,三生国健,生物制品,42.60,382,288.9,72.0,73.0,8.4,1.05,0,12.4,0.12,80.7,4.8,38.6,-0.41,0.001,-62.4,4.6,-54.0,8.1,否(经营现金流同比恶化),是,,,,中国银行股份有限公司-平安医疗健康混合型证券投资基金[保险],8.371,总市值382亿≥30 | 净利CAGR3年+289%≥15% | 营收CAGR3年+72%≥10% | 最新期净利同比+73%≥10% | ROE年化8.4%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.05≥0.4 | PE(TTM)12.4≤80 | PEG 0.12≤1.5
002468,申通快递,物流,13.97,214,68.2,18.2,94.3,16.4,2.70,0,11.0,0.16,7.4,1.7,30.7,0.20,0.023,-39.8,-9.8,5.1,8.7,是,是,,,,太平人寿保险有限公司-传统-普通保险产品-022L-CT001深[保险],6.515,总市值214亿≥30 | 净利CAGR3年+68%≥15% | 营收CAGR3年+18%≥10% | 最新期净利同比+94%≥10% | ROE年化16.4%≥6% | 近3年亏损季度0 | 年报OCF/NP 2.70≥0.4 | PE(TTM)11.0≤80 | PEG 0.16≤1.5
600150,中国船舶,航海装备Ⅱ,34.08,2565,257.0,36.7,251.6,13.2,0.83,0,18.3,0.18,17.5,4.6,54.9,2.38,0.895,56.8,30.0,633.4,51.0,是,,,,,,5.467,总市值2565亿≥30 | 净利CAGR3年+257%≥15% | 营收CAGR3年+37%≥10% | 最新期净利同比+252%≥10% | ROE年化13.2%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.83≥0.4 | PE(TTM)18.3≤80 | PEG 0.18≤1.5
688578,艾力斯,化学制药,111.37,501,156.0,87.2,54.9,34.4,1.06,0,18.7,0.19,94.9,-1.8,44.2,0.36,0.000,,67.7,-15.4,30.0,是,,,,,,5.345,总市值501亿≥30 | 净利CAGR3年+156%≥15% | 营收CAGR3年+87%≥10% | 最新期净利同比+55%≥10% | ROE年化34.4%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.06≥0.4 | PE(TTM)18.7≤80 | PEG 0.19≤1.5
301219,腾远钴业,能源金属,45.75,175,59.4,20.2,330.1,22.1,0.84,0,11.5,0.19,34.6,13.9,75.1,-3.19,0.053,174.5,-3.0,-11.6,13.3,否(经营现金流同比恶化),,,,,,5.162,总市值175亿≥30 | 净利CAGR3年+59%≥15% | 营收CAGR3年+20%≥10% | 最新期净利同比+330%≥10% | ROE年化22.1%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.84≥0.4 | PE(TTM)11.5≤80 | PEG 0.19≤1.5
000426,兴业银锡,贵金属,39.85,708,114.0,38.6,257.3,52.7,1.46,0,22.3,0.22,69.1,13.5,85.3,0.01,0.048,-141.6,-89.6,174.1,4.6,是,,,,是,高盛国际-自有资金[QFII],4.782,总市值708亿≥30 | 净利CAGR3年+114%≥15% | 营收CAGR3年+39%≥10% | 最新期净利同比+257%≥10% | ROE年化52.7%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.46≥0.4 | PE(TTM)22.3≤80 | PEG 0.22≤1.5
600415,小商品城,一般零售,12.48,684,56.1,37.8,23.3,16.9,2.49,0,15.2,0.27,33.8,-2.4,45.3,0.06,0.354,-27.7,-45.2,-33.3,22.0,是,是,是,,是,瑞众人寿保险有限责任公司-自有资金[保险]; 澳门金融管理局-自有资金[QFII]; 全国社保基金一一三组合[社保]; 科威特政府投资局-自有资金[QFII],4.582,总市值684亿≥30 | 净利CAGR3年+56%≥15% | 营收CAGR3年+38%≥10% | 最新期净利同比+23%≥10% | ROE年化16.9%≥6% | 近3年亏损季度0 | 年报OCF/NP 2.49≥0.4 | PE(TTM)15.2≤80 | PEG 0.27≤1.5
600312,平高电气,电网设备,19.87,270,74.1,10.5,15.8,14.5,0.72,0,21.2,0.29,29.4,0.7,-2.4,-0.36,0.174,28.9,13.1,-11.7,17.5,否(经营现金流同比恶化),是,是,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]; 新华人寿保险股份有限公司-分红-个人分红-018L-FH002沪[保险]; 新华人寿保险股份有限公司-传统-普通保险产品-018L-CT001沪[保险]; 全国社保基金一零七组合[社保]; 中国人民人寿保险股份有限公司-传统-普通保险产品[保险],4.096,总市值270亿≥30 | 净利CAGR3年+74%≥15% | 营收CAGR3年+11%≥10% | 最新期净利同比+16%≥10% | ROE年化14.5%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.72≥0.4 | PE(TTM)21.2≤80 | PEG 0.29≤1.5
603979,金诚信,工业金属,81.72,510,56.4,37.4,42.6,21.1,1.87,0,17.9,0.32,36.1,2.3,21.4,0.42,0.018,-47.2,10.0,-10.4,9.4,是,是,是,是,,全国社保基金一一一组合[社保]; 瑞众人寿保险有限责任公司-自有资金[保险]; 基本养老保险基金一五零二二组合[养老]; 全国社保基金四一八组合[社保],4.045,总市值510亿≥30 | 净利CAGR3年+56%≥15% | 营收CAGR3年+37%≥10% | 最新期净利同比+43%≥10% | ROE年化21.1%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.87≥0.4 | PE(TTM)17.9≤80 | PEG 0.32≤1.5
600988,赤峰黄金,贵金属,46.81,890,89.8,26.3,104.4,28.5,1.73,0,24.0,0.27,59.3,12.9,47.7,0.08,0.003,-91.8,-40.6,-59.8,5.6,是,,是,,,全国社保基金一一五组合[社保],4.041,总市值890亿≥30 | 净利CAGR3年+90%≥15% | 营收CAGR3年+26%≥10% | 最新期净利同比+104%≥10% | ROE年化28.5%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.73≥0.4 | PE(TTM)24.0≤80 | PEG 0.27≤1.5
