code,name,industry,text_score,categories_hit_count,np_yoy,revenue_yoy,gross_margin,pe_ttm,pe_dynamic,pe_method,peg,drr,drgs,ibr,arr,order_backlog_score,filter_pass,price_index_1y_high,contract_liability_yoy,price_above_ma60,has_insurance,has_social_security,has_pension,has_qfii,inst_detail,sort_value
002738,中矿资源,能源金属,1.50,1,1146.8,12.0,52.9,24.3,16.0,动态(中报×2),0.02,0.026,164.7,-19.8,34.9,9.8,是,,176.7,否,是,是,,是,高盛国际-自有资金[QFII]; 全国社保基金四一八组合[社保]; 中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险],530.000
688308,欧科亿,通用设备,4.30,3,47734.2,100.0,46.0,29.1,18.5,动态(中报×2),0.00,0.008,27.1,-3.5,-57.0,9.3,否(经营现金流同比恶化),,127.1,否,,是,是,,全国社保基金一一五组合[社保]; 广发基金管理有限公司-社保基金四二零组合[社保]; 基本养老保险基金一二零四组合[养老],520.000
301511,德福科技,电池,1.50,1,580.7,73.5,9.1,169.6,108.3,动态(中报×2),0.29,0.001,-125.6,-9.8,-63.0,8.7,否(经营现金流同比恶化),,-52.0,是,是,是,,,中国平安人寿保险股份有限公司-自有资金[保险]; 全国社保基金六零一组合[社保],520.000
002297,博云新材,航空装备Ⅱ,5.50,4,1911.6,88.3,44.4,51.3,33.7,动态(中报×2),0.03,0.016,-37.4,-42.9,-77.3,8.6,否(经营现金流同比恶化),,51.0,是,,,,是,高盛公司有限责任公司[QFII]; 阿布达比投资局-自有资金[QFII],510.000
001309,德明利,半导体,4.30,3,5201.6,311.5,47.1,13.7,7.7,动态(中报×2),0.00,0.057,3021.8,-134.2,-244.1,10.7,否(经营现金流同比恶化),,3333.3,是,是,,,,平安资管-招商银行-平安资产开阳5号资产管理产品[保险],510.000
688388,嘉元科技,电池,2.80,2,940.0,89.6,6.3,45.8,24.1,动态(中报×2),0.05,0.001,-68.3,-64.5,21.8,7.3,是,,21.3,否,,,,是,高盛国际-自有资金[QFII],510.000
002466,天齐锂业,能源金属,2.80,2,4925.5,153.3,64.4,17.5,9.4,动态(中报×2),0.00,0.001,-176.0,-132.9,3.1,5.4,是,,-22.7,否,是,,,,中国太平洋人寿保险股份有限公司-传统-普通保险产品[保险],510.000
605189,富春染织,纺织制造,1.50,1,1238.1,46.9,13.7,13.8,7.9,动态(中报×2),0.01,0.034,35.8,-43.2,-47.1,9.4,是,,82.7,否,,,,是,高盛公司有限责任公司[QFII],510.000
002460,赣锋锂业,能源金属,1.00,3,901.4,175.7,31.5,16.5,12.3,动态(中报×2),0.02,0.051,434.6,-124.5,-73.5,8.5,是,,610.3,否,是,,,,平安银行股份有限公司-东吴移动互联灵活配置混合型证券投资基金[保险],510.000
300821,东岳硅材,化学制品,4.50,3,916.2,14.5,22.5,50.5,21.5,动态(中报×2),0.06,0.010,7.6,-13.7,-7.2,9.1,是,,22.1,否,,是,,,全国社保基金一零四组合[社保],510.000
000973,佛塑科技,塑料,2.70,2,1608.1,259.6,32.5,31.5,15.0,动态(中报×2),0.02,0.019,-60.8,-136.5,598.8,6.2,否(经营现金流同比恶化),,198.8,否,,,,是,中国银行-景顺长城策略精选灵活配置混合型证券投资基金[QFII]; 招商银行股份有限公司-景顺长城景气进取混合型证券投资基金[QFII],510.000
300390,天华新能,电池,2.80,2,2622.9,125.0,43.5,17.8,10.8,动态(中报×2),0.01,0.017,98.2,8.0,-19.8,10.1,否(经营现金流同比恶化),,223.2,否,,,,是,中国农业银行股份有限公司-摩根新兴动力混合型证券投资基金[QFII]; 中国建设银行-摩根中国优势证券投资基金[QFII],510.000
002842,翔鹭钨业,小金属,1.50,1,2522.4,182.9,32.0,18.6,11.7,动态(中报×2),0.01,0.087,14439.9,17.8,-225.0,26.2,否(经营现金流同比恶化),,14622.8,否,,,,是,高盛国际-自有资金[QFII],510.000
301150,中一科技,电池,2.50,2,988.0,47.2,7.7,55.6,36.5,动态(中报×2),0.06,0.000,-113.9,-5.7,-42.6,8.8,是,,-66.8,否,,,,是,中国银行股份有限公司-景顺长城精锐成长混合型证券投资基金[QFII]; 上海浦东发展银行股份有限公司-景顺长城新能源产业股票型证券投资基金[QFII],510.000
301308,江波龙,半导体,2.50,2,71528.7,136.3,58.9,13.0,7.2,动态(中报×2),0.00,0.036,788.3,82.9,-43.6,13.5,否(经营现金流同比恶化),,924.6,否,是,,,,平安资管-招商银行-平安资产开阳5号资产管理产品[保险],510.000
002192,融捷股份,能源金属,1.50,1,1076.1,402.4,76.4,15.0,9.0,动态(中报×2),0.01,0.055,-244.3,-254.9,-215.2,4.6,是,,158.1,否,,,,是,中国银行股份有限公司-景顺长城精锐成长混合型证券投资基金[QFII],510.000
002636,金安国纪,元件,1.30,1,986.7,65.7,33.1,51.5,33.5,动态(中报×2),0.05,0.009,-22.3,-26.5,-15.7,8.7,是,,43.4,是,,,,是,高盛公司有限责任公司[QFII],510.000
002759,ST天际,电池,4.00,3,531.4,111.1,27.8,22.1,17.6,动态(中报×2),0.04,0.007,511.9,-75.1,55.9,7.8,是,,623.0,否,,,,是,高盛公司有限责任公司[QFII],510.000
301002,崧盛股份,电网设备,1.20,1,5121.1,30.7,25.6,109.3,50.1,动态(中报×2),0.02,0.015,516.7,17.3,8.2,10.6,否(经营现金流同比恶化),,547.3,否,,,,是,高盛公司有限责任公司[QFII],510.000
000703,恒逸石化,炼化及贸易,1.30,1,2500.7,20.3,15.3,11.9,5.3,动态(中报×2),0.00,0.005,-54.4,60.6,-4.8,10.8,否(经营现金流同比恶化),,-34.1,是,,是,,,易方达基金管理有限公司-社保基金2106组合[社保],510.000
002407,多氟多,化学制品,0.80,3,897.2,62.5,21.6,59.6,39.2,动态(中报×2),0.07,0.018,2.3,51.0,26.1,11.1,是,,64.9,否,,,,是,高盛国际-自有资金[QFII],510.000
002378,章源钨业,小金属,1.50,1,497.4,143.7,25.2,33.6,21.1,动态(中报×2),0.07,0.093,1064.9,112.8,-133.2,17.1,否(经营现金流同比恶化),,1208.6,否,,,是,,基本养老保险基金八零四组合[养老],507.380
301099,雅创电子,其他电子Ⅱ,5.50,4,495.8,118.7,12.3,28.4,18.6,动态(中报×2),0.06,0.005,111.0,-60.3,-26.1,7.8,否(经营现金流同比恶化),,229.7,否,,,,是,香港上海汇丰银行有限公司[QFII],505.760
300975,商络电子,元件,4.00,3,493.3,121.6,15.2,23.8,17.0,动态(中报×2),0.05,0.093,-83.2,93.6,-53.5,15.5,否(经营现金流同比恶化),,38.4,否,,是,,,全国社保基金一一五组合[社保],503.250
300475,香农芯创,其他电子Ⅱ,5.30,4,2207.2,251.6,11.6,19.6,10.7,动态(中报×2),0.01,0.022,1573.3,-31.0,-76.6,10.6,是,,1824.9,是,,,,,,500.000
300497,富祥股份,化学制药,4.00,3,2660.3,72.6,39.2,72.4,26.2,动态(中报×2),0.03,0.001,-110.0,-89.0,48.2,6.6,是,,-37.4,否,,,,,,500.000
603026,石大胜华,电池,1.50,1,898.3,58.9,19.6,27.5,16.0,动态(中报×2),0.03,0.005,-45.9,-10.7,68.1,8.9,否(经营现金流同比恶化),,13.0,否,,,,,,500.000
002709,天赐材料,电池,5.40,4,967.9,109.3,33.5,17.8,12.2,动态(中报×2),0.02,0.008,53.1,-4.3,1.1,9.3,否(经营现金流同比恶化),,162.4,否,,,,,,500.000
301246,宏源药业,化学制药,1.30,1,2788.9,52.1,23.1,26.3,23.5,动态(中报×2),0.01,0.006,-44.1,-34.7,24.5,8.3,是,,7.9,否,,,,,,500.000
301217,铜冠铜箔,电池,5.70,4,514.8,34.2,8.4,372.1,209.4,动态(中报×2),0.72,0.000,-93.4,-18.5,-17.9,8.5,是,,-59.3,否,,,,,,500.000
002812,恩捷股份,电池,2.80,2,981.0,50.5,29.9,46.6,30.0,动态(中报×2),0.05,0.003,-68.3,-86.1,-13.8,6.8,是,,-17.9,否,,,,,,500.000
300358,楚天科技,医疗器械,0.00,2,1280.7,8.5,35.4,15.0,21.3,动态(中报×2),0.01,0.460,-16.1,-17.7,-17.4,29.0,是,,-7.6,否,,,,,,500.000
920167,?,光伏设备,1.50,1,568.9,18.4,7.6,,,PE(TTM),,0.000,44169.3,41.6,34.6,49.6,否(经营现金流同比恶化),,44187.7,否,,,,,,500.000
301358,湖南裕能,电池,2.60,2,853.5,142.9,14.9,12.7,8.0,动态(中报×2),0.01,0.000,-63.7,-29.9,-78.6,8.2,否(经营现金流同比恶化),,79.2,否,,,,,,500.000
301292,海科新源,电池,2.80,2,1068.1,45.0,20.9,49.6,16.6,动态(中报×2),0.05,0.004,31.9,-9.2,13.7,9.0,是,,76.9,否,,,,,,500.000
300042,朗科科技,计算机设备,2.80,2,632.4,101.8,20.0,55.4,40.8,动态(中报×2),0.09,0.040,450.0,78.5,-96.8,13.3,是,,551.8,否,,,,,,500.000
002386,天原股份,化学原料,1.10,3,1157.8,31.7,10.2,27.7,18.5,动态(中报×2),0.02,0.021,65.0,-41.8,630.2,8.9,是,,96.7,是,,,,,,500.000
002458,益生股份,养殖业,5.80,4,4897.3,28.4,28.0,27.1,20.2,动态(中报×2),0.01,0.032,20.8,-26.0,37.6,9.8,是,,49.2,否,,,,,,500.000
300613,富瀚微,半导体,4.00,3,1419.2,112.7,45.3,38.1,25.4,动态(中报×2),0.03,0.021,-146.8,-53.2,94.4,8.4,否(经营现金流同比恶化),,-34.1,是,,,,,,500.000
300283,温州宏丰,电网设备,3.00,2,2521.9,92.2,12.0,53.0,34.1,动态(中报×2),0.02,0.046,2047.3,-52.7,-91.4,11.5,否(经营现金流同比恶化),,2139.5,否,,,,,,500.000
920957,?,化学制品,1.50,1,1615.0,10.4,13.0,,,PE(TTM),,0.004,-35.7,25.4,-6.8,9.8,否(经营现金流同比恶化),,-25.3,否,,,,,,500.000
301666,大普微,计算机设备,3.00,2,477.1,531.2,34.9,154.0,64.9,动态(中报×2),0.32,0.001,-608.4,-325.6,-137.0,0.0,否(经营现金流同比恶化),,-77.3,否,,,,是,高盛公司有限责任公司[QFII],487.080
920971,?,非金属材料Ⅱ,1.50,1,477.9,-4.7,21.2,,,PE(TTM),,0.008,34.0,64.9,1.1,11.1,否(经营现金流同比恶化),,29.3,否,,,,,,477.940
000603,盛达资源,贵金属,3.00,2,456.5,27.1,69.1,29.1,31.8,动态(中报×2),0.06,0.033,-44.5,-31.5,-74.0,9.6,是,,-17.4,是,是,,,是,高盛国际-自有资金[QFII]; 国联安基金-中国太平洋人寿保险股份有限公司-分红险-国联安基金中国太平洋人寿股票相对收益型(个分红)单一资产管理计划[保险],476.460
688257,新锐股份,通用设备,3.00,2,460.5,80.4,49.1,27.1,16.4,动态(中报×2),0.06,0.009,36.1,18.5,-49.1,9.9,是,,116.5,否,,,,,,460.510
920471,?,化学制品,1.50,1,388.2,17.1,22.4,,,PE(TTM),,0.005,-34.1,4.3,-50.0,9.3,是,,-17.0,否,,,,,,388.220
002326,永太科技,化学制品,1.30,1,365.7,43.6,25.0,98.5,30.4,动态(中报×2),0.27,0.043,49.4,-22.6,24.3,10.4,是,,92.9,否,,,,,,365.740
300857,协创数据,消费电子,4.20,3,325.5,153.3,25.1,49.9,34.5,动态(中报×2),0.15,0.009,130.4,-64.8,-103.7,7.8,是,,283.7,是,,,,是,高盛国际-自有资金[QFII],335.510
002213,大为股份,半导体,1.50,1,302.9,1.1,12.2,353.7,145.3,动态(中报×2),1.17,0.001,-40.4,442.1,-22.4,20.5,否(经营现金流同比恶化),,-39.3,否,,是,,,汇添富基金管理股份有限公司-社保基金17022组合[社保]; 汇添富基金管理股份有限公司-社保基金四二三组合[社保],312.930
000657,中钨高新,小金属,10.60,8,280.5,108.5,30.4,48.4,32.8,动态(中报×2),0.17,0.026,49.5,16.2,-43.9,10.6,否(经营现金流同比恶化),,158.0,否,是,是,是,,银华基金-中国人寿保险股份有限公司-分红险-银华基金国寿股份成长股票型组合单一资产管理计划(可供出售)[保险]; 全国社保基金五零二组合[社保]; 平安银行股份有限公司-永赢科技智选混合型发起式证券投资基金[保险]; 基本养老保险基金八零四组合[养老]; 基本养老保险基金二一零六组合[养老],310.530
301500,飞南资源,环境治理,1.50,1,307.3,52.5,12.2,18.1,10.8,动态(中报×2),0.06,0.001,-142.8,-8.8,129.2,8.7,否(经营现金流同比恶化),,-90.2,是,,,,,,307.310
002132,恒星科技,通用设备,1.50,1,293.5,11.4,12.2,75.3,34.6,动态(中报×2),0.26,0.031,338.0,-15.3,-10.2,10.3,是,,349.4,否,,,,,,293.450
300861,美畅股份,通用设备,1.50,1,265.7,15.3,35.4,23.3,17.6,动态(中报×2),0.09,0.003,258.9,5.3,22.7,9.5,否(经营现金流同比恶化),,274.2,否,,,,是,国际货币基金组织投资资金-RQFII[QFII],275.670
002185,华天科技,半导体,1.30,1,259.2,35.1,14.3,41.2,32.3,动态(中报×2),0.16,0.003,-66.8,22.6,2.3,9.7,否(经营现金流同比恶化),,-31.7,否,,,,是,高盛国际-自有资金[QFII],269.150
300503,昊志机电,通用设备,4.20,3,266.6,65.9,42.4,71.0,43.9,动态(中报×2),0.27,0.011,-47.9,-43.3,-20.5,8.3,是,,18.0,否,,,,,,266.570
300308,中际旭创,通信设备,1.50,1,241.7,182.5,46.3,47.4,33.4,动态(中报×2),0.20,0.000,30.9,-66.2,-46.1,7.3,否(经营现金流同比恶化),,213.4,否,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险],251.700
300540,蜀道装备,专用设备,2.80,2,235.1,46.3,31.1,74.2,90.4,动态(中报×2),0.32,0.521,-1.2,-46.4,16.2,31.0,是,,45.1,否,,,,是,高盛国际-自有资金[QFII],245.110
300706,阿石创,半导体,2.80,2,225.0,16.4,13.2,664.4,101.8,动态(中报×2),2.95,0.001,-96.2,10.7,19.8,9.3,否(经营现金流同比恶化),,-79.8,否,,,,是,高盛公司有限责任公司[QFII],235.010
300233,金城医药,化学制药,0.00,1,220.1,6.4,35.4,36.7,18.1,动态(中报×2),0.17,0.013,15.2,-26.1,-2.2,8.9,是,,21.6,否,,,,,,220.110
301563,云汉芯城,其他电子Ⅱ,5.40,4,207.7,90.7,16.8,47.7,30.3,动态(中报×2),0.23,0.020,47.3,-49.4,71.9,8.7,否(经营现金流同比恶化),,137.9,否,,是,,,全国社保基金一一六组合[社保],217.690
