日期,方向,桶,代码,名称,申万一级行业,价格,股数,金额,占总资产%,触发规则ID,触发时指标值,阈值,决策理由(一句话),当时组合状态,当时四桶权重ABCD,情绪自评(1-5),是否违反纪律,事后30日涨跌%,事后90日涨跌%,复盘结论
2026-08-14,买入,B,000833,粤桂股份,,23.137,9600,222115.20,,,,,,,,,,,,
2026-08-20,买入,A,600256,广汇能源,,5.530,2200,12166.00,,,,,,,,,,,,
2026-08-20,买入,A,600256,广汇能源,,5.480,2600,14248.00,,,,,右键加仓,,,,,,,
2026-08-20,买入,A,600256,广汇能源,,5.590,900,5031.00,,,,,右键加仓,,,,,,,
2026-08-20,买入,A,600256,广汇能源,,5.470,2000,10940.00,,,,,右键加仓,,,,,,,
2026-08-20,买入,A,600256,广汇能源,,5.480,2800,15344.00,,,,,右键加仓,,,,,,,
2026-08-20,买入,A,601919,中远海控,,15.790,700,11053.00,,,,,,,,,,,,
2026-08-20,买入,A,601919,中远海控,,16.260,1300,21138.00,,,,,右键加仓,,,,,,,
2026-08-20,买入,A,601919,中远海控,,13.990,200,2798.00,,,,,右键加仓,,,,,,,
2026-08-20,买入,A,601166,兴业银行,,17.955,2300,41296.50,,,,,,,,,,,,
2026-08-20,买入,A,601166,兴业银行,,17.975,900,16177.50,,,,,右键加仓,,,,,,,
2026-08-20,买入,A,600036,招商银行,,36.995,400,14798.00,,,,,,,,,,,,
2026-08-20,买入,A,600036,招商银行,,37.584,300,11275.20,,,,,右键加仓,,,,,,,
2026-08-20,买入,A,601077,渝农商行,,6.130,3700,22681.00,,,,,,,,,,,,
2026-08-20,买入,A,601077,渝农商行,,6.518,1000,6518.00,,,,,右键加仓,,,,,,,
