date,A_mv,B_mv,C_mv,D_mv,total_mv,nav,peak_nav,drawdown_pct
2026-08-21,219994.00,207840.00,0.00,0.00,427834.00,1.0028,1.0028,0.00
2026-08-24,222294.00,204192.00,0.00,0.00,426486.00,0.9968,1.0028,-0.59
2026-08-25,219942.00,200448.00,0.00,0.00,420390.00,0.9826,1.0028,-2.01
2026-08-26,220468.00,198720.00,0.00,0.00,419188.00,0.9798,1.0028,-2.29
2026-08-27,222527.00,203904.00,0.00,0.00,426431.00,0.9967,1.0028,-0.61
2026-08-28,221040.00,206400.00,0.00,0.00,427440.00,0.9991,1.0028,-0.37
2026-08-31,224552.00,203328.00,0.00,0.00,427880.00,1.0001,1.0028,-0.27
2026-09-01,226949.00,202080.00,0.00,0.00,429029.00,1.0028,1.0028,-0.00
2026-09-02,223574.00,195264.00,0.00,0.00,418838.00,0.9790,1.0028,-2.38
2026-09-03,224975.00,190752.00,0.00,0.00,415727.00,0.9717,1.0028,-3.10
2026-09-04,225798.00,190464.00,0.00,0.00,416262.00,0.9730,1.0028,-2.98
